GAZE_C1,GAZE_C2,GAZE_C3,MANIP_C1,MANIP_C2,MANIP_C3,NAV_C1,NAV_C2,NAV_C3
4,4,5,4,4,5,5,5,5
5,4,5,5,4,5,4,4,5
5,4,5,5,4,5,5,5,4
5,5,5,5,5,5,5,5,5
5,5,5,4,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,4,4,4,3,3,3
5,5,5,5,5,5,5,5,5
5,4,5,5,5,4,5,5,5
5,5,5,5,5,5,5,5,5
4,4,5,5,4,5,4,3,5
5,3,3,5,5,5,2,2,2
5,4,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,4,5
4,4,3,4,5,3,4,4,4
5,5,5,4,5,5,4,4,5
3,2,4,4,4,5,4,4,4
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,3,5
4,4,5,4,4,4,3,4,4
5,5,5,5,5,5,5,5,5
5,5,5,4,5,5,5,4,5
4,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5
4,4,5,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5
4,5,5,4,5,5,5,5,5
5,5,5,5,4,5,5,4,4
4,5,5,4,4,5,4,4,5
5,4,4,5,4,5,5,5,5
4,4,5,4,4,4,4,3,4
4,5,4,4,5,4,4,4,3
5,5,5,5,4,5,5,5,5
